"","Geneid","E1_S1_L001.bam","E2_S2_L001.bam","E3_S3_L001.bam","E4_S4_L001.bam","E5_S5_L001.bam","E6_S6_L001.bam","L1_S1_L001.bam","L2_S2_L001.bam","L3_S3_L001.bam","L4_S4_L001.bam","L5_S5_L001.bam","L6_S6_L001.bam","enriched_mean","enriched_sd","unenriched_mean","unenriched_sd","enriched_m_mean","enriched_f_mean","unenriched_m_mean","unenriched_f_mean","enriched_m_sd","enriched_f_sd","unenriched_m_sd","unenriched_f_sd"
"31","cyp7a1",1027.74516244262,137.663433564951,540.333315713731,1977.19729320516,26585.9186482527,2959.13195156963,560.38460137377,47.4362330071786,362.228090194999,1178.79049971632,16623.140127665,1912.43149247201,5537.99830079147,10361.7321116606,3447.40184073822,6488.69389842734,568.580637240433,10507.4159643425,323.349641525316,6571.45403995112,445.712692662591,13933.0447259637,258.674810294137,8712.74079615703
"32","dnajb6a",517.084284853941,602.914852557611,911.247052984496,783.615743551921,841.041047490015,586.685166998026,1466.16348535527,1082.66225922267,1484.34771742951,1238.57068353711,1252.53226356282,1105.59650359935,707.098024739335,159.330556636086,1271.64548545112,171.945150392576,677.08206346535,737.113986013321,1344.39115400248,1198.89981689976,207.28399196624,133.401793750488,226.846153474179,81.1040235366273
"33","abcf2a",581.318357506605,1367.71170569623,2664.65744735539,3534.34103901713,3895.75645527094,2452.81907311765,507.518129546056,1011.5079097119,1984.37997237261,2697.58079491341,3022.98011707635,2175.41318507574,2416.10067966066,1262.41966343959,1899.89668478268,970.424212395581,1537.89583685274,3294.30552246857,1167.80200387685,2631.9913656885,1052.04440005929,750.819458396888,750.73371351125,427.573275561946
"34","keap1a",3133.01689363366,10583.5137860166,4066.06988263118,3780.88543619027,5648.6528483672,3879.9966341012,2225.67846394677,6004.86902537932,2510.00442934035,3002.08610625059,4286.34743482224,3429.49595048535,5182.02258015668,2774.74620969609,3576.41356837077,1393.88325161979,5927.53352076048,4436.51163955289,3580.18397288881,3572.64316385273,4059.0960992455,1050.91412111894,2104.64569856245,653.987869564332
"35","cyp7b1",867.159980810957,79.0290081576573,406.278018207889,305.053296665938,146.478890623982,249.90250041846,1550.74984027962,484.12861333797,1112.27647260964,425.933809723169,229.703148681071,354.220239017266,342.316949147481,281.83446255138,692.835353941456,520.748440493564,450.822335725501,233.81156256946,1049.05164207574,336.619065807169,395.949181942824,80.5024799216465,536.114022235621,99.2923413815671
"36","slc39a6",215.184143386423,373.475796616025,489.342957153227,552.808222794094,645.089154072503,385.9171425733,172.697141303866,195.325665323677,346.479042795217,384.834933346372,494.078470747963,305.917479151275,443.636236099262,151.680746885787,316.555455444729,120.479850800589,359.334299051892,527.938173146632,238.16728314092,394.943627748537,137.625398297417,131.363702799656,94.4806354994844,94.4869248443904
"37","slco5a1a",123.650589856377,226.88973309779,245.08269114565,316.351566912825,586.40059193508,395.678958995896,222.039181676399,558.073329496219,631.930526916276,724.834728827148,1090.00645081678,790.734068917332,315.67568865727,160.893075738423,669.603047775026,285.878923773076,198.541004699939,432.8103726146,470.681012696298,868.525082853753,65.4918056493588,138.800847932785,218.473777608166,194.61803108181
"38","per2",266.571401508553,1126.16336624662,828.182114039159,1513.16119377946,2221.43483131734,1444.74883054422,296.052242235199,1130.09849222984,842.574035888368,1487.03207254229,2175.67887996033,1420.45893828136,1233.37695623922,664.771577011199,1225.31577685623,637.001505330621,740.305627264776,1726.44828521367,756.241590117804,1694.38996359466,436.48172259147,430.033514366713,423.672344125833,418.135458091825
"39","hsd11b1lb",2196.00235881293,3197.48817683037,3144.95372798981,3027.53291651393,4291.05544818003,3692.89515266811,3929.74107252675,7130.78196763794,8965.14523232624,4799.22788236326,7933.42667284339,5977.01928563983,3258.32129683253,700.532931453605,6455.8903522229,1912.60192122636,2846.14808787771,3670.49450578736,6675.22275749698,6236.55794694883,563.655097417402,632.059046879704,2548.42586876481,1583.13636560384
"40","gpx4b",30957.6113149512,34002.230759832,12124.191385467,7321.68262963419,5398.37765776463,12757.0670949293,22949.3354204107,23991.5724350425,8973.01975602613,6760.76516398312,4537.72069186945,11558.671536821,17093.5268070964,12279.1020699709,13128.5141673588,8349.0965332455,25694.6778200834,8492.37579410939,18637.9758704931,7619.05246422452,11850.5697519198,3816.47342741589,8386.30413350223,3588.30468454439
"41","txn2",1363.36819205278,1120.42738984808,1667.87818001133,1073.7391831059,942.89722971199,837.563849058746,1608.9029592901,1244.50352477657,1901.69747352375,1173.18610748312,1265.5343285825,1080.55062811328,1167.64567063147,303.002882461546,1379.06250362822,312.55820016391,1383.89125397073,951.400087292212,1585.03465253014,1173.0903547263,274.301820929902,118.317036150098,329.246478520527,92.4918874078417
"42","cyp2k22",37998.4686035912,72704.7755129118,85005.039846051,23.4035597971222,46.5628261586168,54.0153842050318,22764.3027690137,39560.4231446632,55411.0546452101,14.9450459551989,47.6742384055052,53.6697331844343,32638.7109554525,38894.7752643293,19642.011596072,23827.6276461795,65236.0946541847,41.3272567202569,39245.2601862957,38.7630058483795,24377.0451515406,15.9633749220861,16325.6576524264,20.8436536988099
"43","dnaja3a",4758.13893174605,3919.58387233542,4302.92832239611,4859.46673511626,6350.49044682051,4746.52053854698,3730.61069530903,3467.03055949526,3821.11262537225,4689.00816844366,6002.62001742043,4447.43188988345,4822.85480782689,828.40184417742,4359.63565932068,927.147815238183,4326.88370882586,5318.82590682792,3672.91796005885,5046.35335858252,419.790474308362,895.230698277526,183.956152708776,836.913506101152
"44","hmox2b",12.8468145305327,34.4158583912378,59.2146099412308,75.85981451481,133.868125206023,66.3803516736535,179.746004214228,390.651330647353,559.091182692282,336.263533991976,611.097055925113,288.027568089797,63.764262376248,41.3335518369098,394.146112593458,164.235042746309,35.4924276210005,92.0360971314956,376.496172517954,411.796052668962,23.2026370008226,36.5363378509706,190.068323202179,174.276632185185
"45","abca3b",244.089476080121,370.289143061281,498.389633672026,786.843820765317,1299.87889692805,1179.55281773036,352.443145518094,445.063480273235,811.075941088803,808.900612325142,1412.89106547225,1016.14694829196,729.84063137286,435.714369813194,807.753532161579,386.906507111472,370.922750937809,1088.75851180791,536.194188960044,1079.31287536311,127.151262801526,268.298251642236,242.517246484804,306.909705989042
