"","X.x","Geneid","Length","E1_cpm","E2_cpm","E3_cpm","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E","CPM_sd_E","X.y","L1_CPM","L2_CPM","L3_CPM","L4_CPM","L5_CPM","L6_CPM","CPM_mean_UN","CPM_sd_UN"
"88",208,"ugt2b1",3412,104.858212657191,129.563718958729,90.8496308959671,181.250592949659,209.109462567624,166.064741750199,146.949393296562,46.1019642903194,2838,8.62032791909845,8.44092011180791,4.41581692186316,5.62580171088095,8.25466572903902,4.33223475080444,6.61496119058232,2.05279149750104
"89",211,"ugt2b5",1683,30.8796543145839,55.2167527105991,54.9101651585278,56.7424588097637,82.3641841329489,50.0721742916068,55.0308982363384,16.4800400605834,2840,1.44432301995477,2.43655425907857,2.26357001877019,2.13015792936269,2.57238420393309,1.8521873209961,2.11652945868257,0.413222541781942
"90",212,"ugt2b6",1952,75.1152327345554,96.6945338806082,42.6125760865659,203.477734457942,175.985616638051,221.601819102282,135.914585483334,74.0983229800797,2841,3.16230724369044,4.12473828144015,2.04092378741575,5.48014988665102,5.49031255466316,5.28972141674311,4.2646921951006,1.4289963737537
"91",214,"gstt2",1457,181.678456979669,129.12894137833,222.119244478073,227.511960641696,183.84139427905,223.99271419124,194.71211865801,38.1406229157805,2847,20.1901154789466,28.1073937743707,41.4678605897654,12.5442633618025,11.6909102999646,12.2589686245589,21.0432520215681,11.8714558041006
"92",215,"hspb8",3074,136.969264229719,56.8689075161131,77.2174197541798,111.135707541416,121.319122744501,130.337937992341,105.641393296378,31.7931160722608,2893,20.9958956900793,14.5845176364846,15.9563132470686,11.7795912845954,14.3784758861633,10.2341197736395,14.6548189196718,3.73614680461761
"93",216,"slc39a14",2385,14.5873213633311,27.8257651454987,22.4979148913413,55.6582080044816,55.0714308853542,59.4308207826711,39.1785768454463,19.7290400175618,2898,1.00342441386331,1.65337610437474,1.46575435641676,1.65678950061542,2.55318730688881,2.35447540804589,1.78116784836749,0.576344831912478
"94",218,"npas2",8336,0.947228659956562,5.21733096478102,5.14782798361199,27.9194582360143,31.990022352522,30.6034571386628,16.9708875559248,14.6012399337144,2972,0.516915607141706,4.24656599439408,0.797815662353428,2.67635227022492,4.47287701131649,3.06081803045966,2.62855742931505,1.67446986319802
"95",221,"abca2",9940,2.84168597986969,12.3476832833151,2.09726325258266,15.3602197414965,8.74663902296803,21.5863670888782,10.4966430615184,7.51362988520625,3027,0.334474804621104,1.58376026840107,0.371077052257408,0.801085033264601,0.499119323151197,1.36559573666662,0.825852036393666,0.533176835688931
"96",222,"cyp1d1",2271,227.808492719553,647.644683761484,371.882906742044,363.766145172147,442.839094236937,358.634263343705,402.095930995978,138.997282237833,3031,14.6256710020683,51.3416790305842,34.1205349550687,13.3999678291533,20.9822084693945,13.8600119020302,24.7216788647165,15.2251953565082
"97",223,"abcb9",3243,6.062263423722,40.6082260092122,2.85990443533999,33.3407122624248,9.88046260001944,43.2410454660124,22.6654356994552,18.388262052115,3073,0.243254403360803,2.61059384901275,0.296861641805927,0.837497989322083,0.42233173497409,1.28711322306509,0.949608806923457,0.904255040570697
"98",231,"ar",8433,32.2057744385231,100.433621072035,104.958492776978,734.579920578629,930.302244970683,532.554803243338,405.839142846697,380.155887848113,3186,7.14559809872358,45.4069290138285,42.3398916625703,56.9316567958729,98.4224911460071,43.5734915515693,48.9700097114286,29.4753916640056
"99",233,"hsd20b2",2523,82.6930620142079,132.085428925039,224.883818765568,300.427827296918,144.805468269137,254.117992312111,189.835599597164,82.9862191058531,3233,9.63895573317181,15.9072185199844,27.4225941618225,15.0567573297687,9.73282680144834,12.8083462197697,15.0944497943276,6.57846248589699
"100",234,"akr1a1a",1086,1055.11800432561,1225.29017707882,832.518181127472,675.307543223206,432.715669441835,659.887044552417,813.472769958228,288.445106842679,3274,40.3802309578933,55.4490133530309,36.5696434999676,23.0676076624148,16.0294090319711,19.1026438106123,31.766424719315,15.1117702523638
