"","Geneid","Length","E1_cpm","E2_cpm","E3_cpm","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E","CPM_sd_E"
"91","eef1da",3379,0.378891463982625,0.695644128637469,1.33462206982533,3.61416935094036,9.23256341313292,4.64516760140418,3.31684300465381,3.35499745988751
"92","hsd11b1lb",2915,259.06703849812,436.255824171773,364.542485358004,677.927816002638,716.495513298131,775.264810416706,538.258914624229,212.592386370333
"93","uba52",511,0.568337195973937,0.695644128637469,1.33462206982533,1.9877931430172,8.74663902296803,5.73814821349928,3.17853062898687,3.32719590443581
"94","gpx4b",879,3652.13482132852,4639.1637383672,1405.35703952607,1639.47757182032,901.389743755872,2678.14405607428,2485.94449514538,1444.18024631009
"95","eef2b",2810,4.35725183580019,10.2607508974027,12.3929192198066,18.7936806248899,64.9518934853737,28.6907410674964,23.2412061884616,22.0546622305947
"96","cd9r",1360,1.70501158792181,1.73911032159367,1.52528236551466,0.542125402641054,0.32394959344326,1.50284834163076,1.2230546021242,0.622940862479136
"97","myh9b",7784,0.189445731991312,1.21737722511557,0.953301478446664,1.44566774037614,0.16197479672163,1.22960318860699,0.866228360209718,0.557258705089199
"98","txn2",1205,160.839426460624,152.867797268084,193.329539828983,240.432616071308,157.439502413424,175.833255970799,180.12368966887,33.0433283222856
"99","junbb",1651,2.08390305190444,0.173911032159367,1.33462206982533,0.361416935094036,0.971848780329781,0.54649030604755,0.91203202922675,0.712328915529985
"100","cyp2k22",4059,4482.75963324443,9919.62440782207,9853.22875107687,5.24054555886352,7.77479024263825,11.3396738504867,4046.66130029923,4844.12240897359
"101","crebbpb",9022,0,0.695644128637469,0,1.08425080528211,0.809873983608151,0.819735459071326,0.568250729433176,0.458242142461577
"102","dnaja3a",2354,561.327703890259,534.776423890054,498.767333523294,1088.13603733437,1060.36800673815,996.456761789452,789.972044527597,285.255991859284
"103","hmox2b",9161,1.5155658559305,4.69559786830291,6.86377064481598,16.9865959494197,22.352521947585,13.9355028042125,11.0582591783778,8.00155320052774
"104","abca3b",7179,28.7957512626795,50.5211548422962,57.7700695938678,176.190755858343,217.046227606984,247.628419927796,129.658729848661,95.2079069056212
"105","cyp2k18",4825,26.2382338807968,41.3038701378497,20.6866420822926,96.0465505012401,82.6071463280314,85.6623554729535,58.7574664005273,33.1501802473432
"106","cyp2k20",2629,0,0.608688612557785,0.285990443533999,1.08425080528211,0.809873983608151,0.819735459071326,0.601423217342228,0.396357147946078
"107","cyp2k19",4943,358.336602061567,190.693446762746,164.158514588516,598.596798749497,322.005895882601,407.203589293681,340.165807889768,158.278965989396
