"Geneid","E1_S1_L001.bam","E2_S2_L001.bam","E3_S3_L001.bam","E4_S4_L001.bam","E5_S5_L001.bam","E6_S6_L001.bam","L1_S1_L001.bam","L2_S2_L001.bam","L3_S3_L001.bam","L4_S4_L001.bam","L5_S5_L001.bam","L6_S6_L001.bam"
"abcb5",11.2409627142161,5.09864568759079,1.6448502761453,113.789721772215,34.9221196189626,199.791842782467,3.52443145518094,0,3.93726184994565,93.4065372199933,26.0041300393665,141.330297385677
"ahr1a",252.118735161704,543.643096439368,92.1116154641368,361.141138248697,395.29899290909,737.34253378676,289.003379324837,397.627247266056,118.117855498369,237.252604538783,364.057820551131,751.37626458208
"abcb4",1395.48522837911,9805.33298794804,2922.8989407102,3826.88553648116,4240.61238650819,4506.37985455112,874.059000884874,8641.76550724895,1952.88187757304,2630.32808811501,3131.33065890705,3209.45004442917
"gstk1",42248.3554354731,17599.2502521415,24540.3436949498,9891.63560114922,4405.03736638081,8149.16434958323,21414.4455216794,7115.43495107679,10925.9016335992,6488.01807530074,2645.92023150554,5243.53293211923
"aldh5a1",1120.08164188082,706.799758442273,381.60526406571,357.913061035301,424.885788697378,459.456159623524,1492.59672126913,1942.09518664684,1004.00177173614,422.19754823437,554.754774173152,663.715700380837
"sult2st3",210.366587937473,106.434228728458,230.279038660342,251.386512993227,568.454502686446,214.434567416361,338.345419697371,173.002732143828,314.980947995652,332.527272503176,851.635258789253,336.330327955788
"slc39a3",160.585181631659,133.839449299258,220.40993700347,204.982903050657,183.341127999554,197.188691736441,426.456206076894,379.489864057429,563.028444542227,345.604187713975,242.705213700754,325.596381318901
"cyp1c1",4.81755544894976,5.09864568759079,0,15.3333667636318,17.4610598094813,16.2696940376602,7.04886291036189,36.2747664172542,0,67.2527067983952,8.6680433464555,28.623857698365
"cyp1c2",35.3287399589649,25.493228437954,4.9345508284359,16.1403860669809,5.8203532698271,16.2696940376602,31.7198830966285,13.9518332374055,27.5608329496195,26.1538304215981,8.6680433464555,0
"dnajc17",39.3433694997564,198.847181816041,83.8873640834103,97.6493357052342,85.3651812907974,85.9039845188458,28.1954516414476,92.0820993668762,72.8393442239945,97.142798708793,86.680433464555,71.5596442459124
"ephx2",5819.60698233131,3681.22218644055,7081.90286394359,3116.708549534,4922.07874851711,3336.58885324335,3748.23285258493,2170.90525174029,4756.21231473434,2441.64688293062,3679.58440057036,2626.23894382498
"slc22a3",647.158281975585,601.640191135713,368.446461856547,604.457458208433,557.298825585944,688.533451673779,363.016439883637,305.54514789918,192.925830647337,381.098671857573,346.72173385822,457.981723173839
"dnajc5gb",321.170363263317,484.371340321125,371.736162408838,425.299172864946,440.891760189403,447.741979916408,318.961046693875,415.764630474683,448.847850893804,625.823799373955,576.424882539291,618.990922727142
"npas3",24.0877772447488,44.6131497664194,46.0558077320684,111.368663862168,72.7544158728387,60.1978679393427,17.6221572759047,119.985765841687,104.33743902356,186.813074439987,108.350541830694,48.3027598659909
"bach2a",1.60585181631659,0,1.6448502761453,46.8071195942445,90.21547568232,40.0234473326441,5.28664718277142,6.97591661870274,27.5608329496195,100.879060197593,140.855704379902,78.7156086705036
"slc22a15",3396.37659150958,3205.77347607271,2674.52654901226,2318.5664585218,2956.25443163301,2406.61314205069,2576.35939373727,2043.9435692799,2159.58812469519,1578.57047901789,2424.88512617093,1785.41312393551
"dnajc27",17.6643699794825,14.0212756408747,16.448502761453,62.5439960095508,45.5927672803123,68.658108838926,51.1042561001237,34.8795830935137,35.4353566495108,112.087844663992,132.187661033446,116.284421899608
"aldh6a1",250612.446157999,110007.104694037,103456.147818711,79955.0339696547,85386.037556681,111396.968106456,163813.811821083,61343.4203782244,67553.5701904424,59307.5467424626,66336.5357304239,82037.7651546201
"gstz1",70854.9996913368,39691.6820164724,37962.3219482955,12135.1492644596,17279.6587992383,16634.7859718653,37207.4228723452,18173.6579750444,19268.959493634,8083.40173101822,10939.0707032268,10283.1208781376
"slc39a9",1201.17715860481,943.249452204296,1407.99183638038,1584.58240212585,1752.89639309626,1547.57329686224,1156.01351729935,644.574695568133,1187.08444775861,1782.19673015747,1833.29116777534,1601.14704000229
"slc30a4",1069.49730966685,1164.40320890355,1348.77722643915,968.826673670526,968.603789987059,925.094802981358,1148.96465438899,1693.75255502103,2063.12520937152,1102.19713919592,1200.52400348409,1130.64237908542
"cyp1a",35661.1512849425,21522.6581087426,17305.4697553247,17305.3184313652,17929.5982477024,20529.4253306004,41503.7048162108,28013.8859573865,25281.158338501,16805.7041766212,18725.1406391805,20696.838107024
"ugt5f1",149.344218917443,116.631520103639,133.232872367769,277.614640352071,385.113374686893,387.218718096312,102.208512200247,41.8554997122164,114.180593648424,141.97793657439,221.035105334615,216.467923843885
"dnaja2b",523.507692119207,604.189513979509,679.323164048009,302.632238755891,391.903786835024,399.583685564934,613.251073201484,1014.29827635938,1285.51599400725,336.263533991976,589.426947558974,432.93584768777
"hsbp1b",928.182349830987,488.832655297767,555.959393337111,346.211281136739,263.370985459676,357.607874947771,1644.14727384191,1086.84780919389,1135.90004370932,863.076403912738,446.404232342458,771.055166749706
"bmal2",52.9931099384474,29.9545434145959,34.5418557990513,92.8072198851399,58.203532698271,80.6976824267945,54.6286875553046,19.5325665323677,15.7490473997826,102.747190941993,58.5092925885746,60.8256976090255
"nr1h4",1146.57819685004,1283.58405185098,1405.52456096616,1915.05680684728,2775.82348026837,2406.93853593145,778.899351594989,866.40884404288,1155.58635295905,1556.15291008509,2225.52012920245,1889.17460809209
"mt2",1849.94129239671,6703.44441775999,4404.90903951711,15471.7705741562,18625.1304634467,36506.9156633442,1614.18960647287,6370.40705619934,5321.20939020154,21184.6026414945,28060.6233233131,53408.5404829367
"slco3a1a",59.4165172037137,54.1731104306522,31.2521552467607,50.0351968076407,60.6286798940322,31.888600313814,200.892592945314,611.09029579836,133.866902898152,78.4614912647944,108.350541830694,103.761484156573
"nat10",415.915620425996,688.317167824757,935.919807126676,2888.7255963379,4346.83383368254,1455.16143472833,214.990318766038,471.571963424305,576.808861017037,1890.54831333266,2875.62338018661,944.587304046044
"ugt5c3",1323.22189664487,741.85294754446,456.445951630321,2018.35527767596,1118.47788668511,1584.99359314886,1598.32966492456,2844.77879710698,681.146300040597,1847.58130621147,1217.860090177,2409.7710199811
"ugt5c2",99.5628126116284,9.55996066423273,26.3176044183248,63.7545249645744,26.6766191533742,53.3645964435254,45.8176089173523,8.37109994244329,17.7176783247554,33.6263533991976,10.8350541830694,44.7247776536952
"abcc5",814.969796780668,1890.96021938523,2033.85736645366,5856.539084404,3664.88244223446,7076.66611862067,755.990547136312,1049.17785945289,1216.6139116332,4244.3930512765,2734.76767580671,5195.23017225324
"dnajc8",382.995658191506,697.877128488989,796.929958792398,462.422060819002,494.730027935303,369.647448535639,384.163028614723,498.080446575376,673.271776340706,409.120633023571,424.734123976319,423.990892157031
"cyp51",669.640207404017,2525.10427677934,146.391674576932,201.754825837261,92.155593438929,94.3642254184291,542.762444097865,2536.44328256032,90.5570225487499,179.340551462387,86.680433464555,96.6055197319817
"hsf1",25.6936290610654,40.7891655007263,65.794011045812,292.948007115703,312.843988253206,279.838737447755,112.78180656579,273.455931453147,307.10642429576,648.241368306754,769.288846997925,624.357896045586
"hsd17b8",3051.11845100152,1722.06758098379,2513.33122195002,1836.77593442242,1059.30429510853,1655.92945915305,1984.25490926687,859.432927424177,1318.98271973179,1350.6585282011,749.785749468401,1302.38552527561
"rxrba",202.33732885589,142.762079252542,274.689996116265,758.5981451481,900.699668505743,737.667927667513,1059.09165228187,1310.07714099237,1787.51687987532,1888.68018258826,2648.08724234215,2311.37650914297
"hsbp1l1",86.7159980810957,35.6905198131355,53.4576339747223,31.0702431789382,20.3712364443948,23.4283594142307,151.550552572781,33.4843997697731,57.0902968242119,78.4614912647944,21.6701083661387,30.4128488045128
"thrb",31.3141104181735,45.2504804773683,50.9903585605043,984.160040434158,339.520607406581,1102.43446799185,126.879532386514,163.236448877644,122.055117348315,2026.92185767385,702.111511062895,2264.86274038313
"slc39a7",748.32694640353,648.165333034979,988.555015963325,1944.51301141952,831.34045870697,1138.22779487471,761.277194319084,954.305393438535,1177.24129313375,1645.82318581628,678.274391860143,862.293713163244
"nfe2l3",57.8106653873971,99.4235909080204,93.7564657402821,590.334620399825,521.89167652783,333.528727772034,102.208512200247,320.892164460326,314.980947995652,719.230336593948,582.925915049132,406.100981095553
"txnl4a",615.041245649253,506.040584493386,1029.67627286696,628.668037308904,515.58629381885,414.226410198828,317.198830966285,214.858231856044,362.228090194999,392.307456323972,286.045430433031,347.064274592675
"abcf1",1716.65559164243,4999.85942739372,9549.17827816154,4313.11466674896,7929.74630070027,2907.39432452987,1511.98109427262,3898.14220653109,7618.60167964483,3919.33830175092,7226.98114010727,2674.54170369098
"slc30a8",163.796885264292,54.1731104306522,48.5230831462864,233.632088319548,125.137595301283,212.807598012595,132.166179569285,61.3880662445841,27.5608329496195,255.933911982782,101.849509320852,221.834897162328
"hsd3b2",0,0,0,83.9300075483005,68.8741803596206,49.459869874487,0,0,0,56.043922331996,56.3422817519607,46.5137687598431
