"","X","Geneid","E1_cpm","E2_cpm","E3_cpm","CPM_mean_E13","L1_CPM","L2_CPM","L3_CPM","CPM_mean_UN13","FC_E1","FC_E2","FC_E3","FC_UN1","FC_UN2","FC_UN3","mean_FC_un","sd_FC_un","mean_FC_e","sd_FC_e"
"43",43,"hmox2b",1.5155658559305,4.69559786830291,6.86377064481598,4.3583114563498,1.55074682142512,4.87310851815714,5.2692941420552,3.89771649387915,0.000327996556036162,0.000950821404046273,0.00142076287073031,0.00609137055837565,0.0160762473445484,0.0189194590633535,0.0136956923220925,0.006737228312451,0.000899860276937582,0.000548162687520502
"44",44,"abca3b",28.7957512626795,50.5211548422962,57.7700695938678,45.6956585662812,3.04068004201004,5.55186291890046,7.64418727650261,5.41224341247104,0.00623193456468708,0.0102301339953868,0.0119580874953134,0.0119438638399523,0.0183154389389677,0.0274465392045833,0.0192352806611677,0.00779216384970885,0.00947338535179576,0.00293712584483758
"45",45,"cyp2k18",26.2382338807968,41.3038701378497,20.6866420822926,29.4095820336464,1.56595022163517,12.6178702702283,3.4510165859939,5.87827902595246,0.00567844037637606,0.00836370679485148,0.00428202142983996,0.00615108987757541,0.0416259975885628,0.0123909133302245,0.0200560002654542,0.0189389133154265,0.00610805620035583,0.00207447973523427
"46",46,"cyp2k19",358.336602061567,190.693446762746,164.158514588516,237.72952113761,77.3853070691554,103.483940174866,68.0926390892344,82.9872954444186,0.0775506857178,0.0386139136865459,0.0339799119916334,0.303971334726784,0.341390595395304,0.244487375924322,0.296616435348804,0.0488684908157139,0.0500481704653264,0.023930310316344
"47",47,"cyp2k21",26.4276796127881,39.9125818805748,13.155560402564,26.4986072986423,1.64196722268542,11.7128644025706,1.26166197767519,4.8721645343104,0.00571943994588058,0.00808198193439333,0.00272312883556644,0.00644968647357421,0.038640408796004,0.00453001132502832,0.0165400355315355,0.0191635373037081,0.00550818357194678,0.00268566538782243
"48",48,"cyp2k16",19.7970789930921,76.6947651822809,7.14976108834998,34.5472017545743,0.973017613443211,4.47281746130852,0.90913877803065,2.11832461759413,0.00428445501322236,0.0155300829327558,0.00147996132367741,0.00382203642878471,0.0147556984555319,0.00326427286656452,0.00728066925029372,0.00647956952753872,0.00709816642321852,0.00743567133697623
"49",49,"cyp2k6",0.189445731991312,0,0.0953301478446664,0.0949252932786595,0.0304068004201004,0.0348079179868367,0.0742154104514817,0.0464767096194729,4.09995695045202e-05,0,1.97328176490321e-05,0.000119438638399523,0.000114830338175346,0.00026647125441343,0.000166913410329433,8.62504049076245e-05,2.02441290511841e-05,2.05045666718776e-05
"50",50,"dnajc7",151.746031325041,146.520044594267,150.430973298884,149.565683072731,9.13724352624016,14.3582661695702,13.1361276499123,12.2105457819076,0.0328406551731207,0.0296691493669995,0.0311383862501727,0.0358913108390565,0.0473675144973303,0.0471654120311773,0.043474745789188,0.00656822469042158,0.0312160635967643,0.00158717913204377
"51",51,"nfe2l1a",16.2923329512529,68.5209466707907,43.6612077128572,42.8248291116336,3.13190044327034,15.2110601602476,9.23981860120947,9.19425973490914,0.00352596297738875,0.0138749493775641,0.0090376304832567,0.0123021797551508,0.0501808577826259,0.033175671174472,0.0318862362374163,0.0189722308682969,0.00881284761273653,0.00517815366534379
"52",52,"hmox1a",16.2923329512529,122.520322156274,26.1204605094386,54.9777052056552,1.26188221743416,9.85064079027479,2.11513919786723,4.40922073519206,0.00352596297738875,0.0248093955240962,0.0054067920358348,0.00495670349358016,0.0324969857036228,0.00759443075078276,0.0150160399826619,0.015196282398838,0.0112473835124399,0.0117826358188653
