"","Geneid","L1_CPM","L2_CPM","L3_CPM","L4_CPM","L5_CPM","L6_CPM","mean_CPM","std_CPM"
"55","atp5pf",154.846631139361,254.376264647803,182.551355858032,60.0449645387876,54.787944164366,63.8533730662046,128.410088902426,82.1696111340012
"56","appa",6.87193689494268,40.4642046596977,17.7003753926784,20.5551136944485,17.5843576925575,22.1477653383517,20.8872922787794,10.9767994968567
"57","LOC141383918",0,0,0,0,0,0,0,0
"58","cyyr1",0.334474804621104,1.46193255544714,1.03901574632074,0.254890692402373,1.03663244039095,1.22432721218386,0.891878908561029,0.488781994661645
"59","adamts1",0.152034002100502,1.28789296551296,0.333969347031667,0.546194340862228,0.230362764531322,0.784825136015297,0.555879759342329,0.425828619865826
"60","adamts5",0.0912204012603011,0.522118769802551,0.185538526128704,0.364129560574819,0.345544146796982,0.753432130574685,0.37699725585634,0.237589225419563
"61","LOC137495378",0.0608136008402007,0.0696158359736734,0.0742154104514817,0,0,0.0313930054406119,0.0393396421176613,0.0339189090416152
"62","hemk2",2.93425624053968,3.68963930660469,2.93150871283353,5.64400818890969,4.91440564333486,4.15957322088108,4.04556521885059,1.08864266269128
"63","gart",2.63018823633868,11.4169970996824,5.12086332115223,11.5611135482505,17.757129765956,13.0751867660149,10.2602464562325,5.50978262724734
"64","LOC100332351",15.7203158171919,8.0580330139527,5.38061725773242,7.81057907432986,5.68228152510593,8.14648491183879,8.46638526669193,3.7574426367358
"65","LOC101882330",0.0760170010502509,0.0174039589934184,0,0.163858302258668,0.0383937940885536,0.172661529923365,0.0780557643857094,0.0743786241784274
"66","zgc:152904",0,0.0696158359736734,0,0.0364129560574819,0,0.0313930054406119,0.0229036329119612,0.0283207710853944
"67","LOC141384273",0,0,0,0,0,0,0,0
"68","LOC137495379",0,0,0,0,0,0,0,0
"69","LOC141384236",0.744966610292459,1.02683358061168,0.983354188482132,0.946736857494528,2.03487108669334,0.73773562785438,1.07908299190475,0.483961189688586
"70","wu:fa56d06",2.03725562814672,382.243151372448,0.46384631532176,1.14700811581068,0.364741043841259,77.211096881185,77.2445165594588,152.497149120404
"71","sonb",1.03383121428341,6.42206086857138,4.04473986960575,9.77687870143388,8.8497695374116,8.94700655057439,6.51238112364674,3.41056154373821
"72","LOC795531",0,0,0,0,0,0,0,0
"73","donson",0.0608136008402007,0.174039589934184,0.111323115677222,2.54890692402373,0.652694499505411,0.627860108812238,0.695939639798831,0.944196372455877
"74","runx1",0.0912204012603011,0.226251466914439,0.0742154104514817,0.364129560574819,0.268756558619875,0.0941790163218357,0.186458735690458,0.1184126396503
"75","mir459",0,0.0348079179868367,0,0,0,0,0.00580131966447279,0.0142102730127324
"76","urp2",0,0,0,0,0,0,0,0
"77","LOC100333907",0,0.0348079179868367,0,0.127445346201186,0.0767875881771072,0.298233551685813,0.0895457340084906,0.113298598047279
"78","LOC141384037",0,0,0,0,0,0,0,0
"79","rcan1b",0.364881605041204,1.18346921155245,0.482400167934631,0.58260729691971,0.499119323151197,0.188358032643671,0.55013927287381,0.338986334442268
"80","wu:fk30a06",0.942610813023111,0.905005867657755,0.816369514966298,0.801085033264601,0.383937940885536,0.847611146896521,0.782770052782304,0.202596370356288
"81","LOC137495381",0,0.0174039589934184,0,0.109238868172446,0,0.125572021762448,0.0420358081547186,0.0589954333053471
"82","atp1a1a.4",2.82783243906933,159.594303969646,1.35443124073954,1.2016275498969,1.0750262344795,11.6311085157467,29.6140549915964,63.8061152822392
"83","atp1a1a.1",81.9159203317504,191.443548927602,135.832754978824,133.708374643073,142.191416406958,88.088773266357,128.863464759094,40.0813991315207
"84","LOC108187381",0,0,0,0,0,0,0,0
"85","atp1a1a.2",0.0608136008402007,0.278463343894694,0.0742154104514817,0.182064780287409,0.134378279309938,0.0470895081609178,0.129504153824107,0.0889298913669633
"86","atp1a1a.3",0.0608136008402007,0.278463343894694,0.148430820902963,0.254890692402373,0.211165867487045,0.251144043524895,0.200818061508695,0.0823870048349674
"87","atp1a1a.5",0,0.278463343894694,0,0,0,0,0.0464105573157823,0.11368218410186
"88","si:ch211-132g1.3",1.23147541701406,0.974621703631428,1.18744656722371,1.9116801930178,1.15181382265661,1.5853467747509,1.34039741304908,0.343795813561238
"89","LOC141384207",0,0.278463343894694,0,0,0.0383937940885536,0.0627860108812238,0.0632738581440785,0.108569345335858
"90","si:ch211-132g1.4",0.516915607141706,1.35750880148663,0.371077052257408,0.109238868172446,0.42233173497409,0.565074097931014,0.557024360327216,0.423244421719437
"91","cd2",0.182440802520602,0.556926687789388,0.408184757483149,0.455161950718523,0.383937940885536,0.612163606091932,0.433135957581522,0.150831864136475
"92","ptgfrnb",0,0,0,0.0364129560574819,0,0,0.00606882600958031,0.0148655270612027
"93","slc5a3a",0,0,0,0,0,0.0313930054406119,0.00523216757343532,0.0128161408036526
"94","oxgr1a.1",0,0,0,0,0,0,0,0
"95","oxgr1a.3",0,0,0,0,0,0,0,0
"96","oxgr1a.2",0,0,0,0,0,0,0,0
"97","mbnl2",2.28051003150753,5.3082074929926,4.04473986960575,5.31629158439235,6.75730775958543,6.41986961260513,5.02115439178147,1.64952448053947
