"","Geneid","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E46","L4_CPM","L5_CPM","L6_CPM","CPM_mean_UN46"
"385","ahr2",234.740299343577,247.983413780816,309.860003528961,264.194572217785,18.133652116626,25.9542048038622,22.3204268682751,22.1360945962544
"386","sult3st3",464.330407362063,442.515144643493,838.179506900431,581.675019635329,16.8227856985566,19.9647729260479,26.5898756081983,21.1258114109343
"387","sult3st2",189.472828223048,149.826686967508,327.142759457715,222.147424882757,6.66357095851918,7.02606431820531,11.7566805375092,8.48210527141123
"388","slc30a7",2192.26477404665,1368.36308270433,1817.5584466259,1792.72876779229,79.5805154636266,65.3078437446297,68.389662352373,71.0926738535431
"389","gpx4a",77035.6582983587,21218.0504713467,60880.9328097683,53044.8805264912,6507.26834464244,1719.15891790316,3683.02739829259,3969.8182202794
"390","hsd11b1la",356.35709800272,294.308205643202,399.211168567736,349.958824071219,14.6926277691939,14.8008076211374,14.88028457885,14.7912399897271
"391","dnaja3b",91.9806099814322,51.9129223492825,65.5788367257061,69.8241230188069,2.94944944065603,1.95808349851623,2.66840546245201,2.52531280054142
"392","hmox2a",1154.09462798903,559.056010884706,1021.73193844415,911.627525772629,38.7797982012182,24.7639971871171,34.5009129792325,32.6815694558559
"393","dnajc19",123.33352910084,113.139395510059,111.142465992421,115.871796867773,5.53476932073724,5.68228152510593,4.94439835689637,5.38714973424651
"394","cp",76176.3895351726,63596.9743107972,41053.1715257511,60275.5117905736,2824.62582729098,2851.10395211895,1311.03469321083,2328.92149087359
"395","ncoa6",224.53027092717,262.966082477566,254.732793906414,247.409715770383,7.81057907432986,10.4623088891309,8.91561354513378,9.06283383619818
"396","gss",52.4054555886352,52.6418089345298,27.4611378788894,44.1694674673515,1.74782189075913,2.30362764531322,0.831914644176215,1.62778806008285
"397","dnajc5ab",8.67400644225687,11.6621853639574,7.1726852668741,9.16962569102946,2.14836440739143,3.64741043841259,2.04054535363977,2.61210673314793
"398","hsd17b10",279.736707762784,319.900223525219,279.803036696346,293.146655994783,8.5388381954795,12.8811179167097,9.16675758865867,10.195571233616
"399","hspb7",4.51771168867545,3.40147073115423,3.68880956582097,3.86933066188355,0.546194340862228,0.614300705416858,0.73773562785438,0.632743558044489
"400","sult1st5",48.8816404714684,23.0004211344715,49.3207501207914,40.4009372422438,1.54755063244298,1.03663244039095,1.14584469858233,1.24334259047209
"401","hnf4a",1206.0483124088,1947.3419935858,1592.06288409303,1581.81773002921,60.15420340696,124.607058714401,78.4511205960891,87.7374609058167
"402","hspg2",75.9879106035211,63.6560951116006,83.5447055370193,74.396237084047,2.94944944065603,3.87777320294391,3.32765857670486,3.38496040676827
"403","dnajc22",502.09847707939,438.384787327092,526.680032453327,489.054432286603,17.5874577757637,15.050367282713,15.7121992230263,16.116674760501
"404","dnajc11a",412.467077176069,325.407366613755,333.564020553774,357.146154781199,16.0581136213495,13.4186310339495,11.0032484069345,13.4933310207445
"405","aldh8a1",473.817601908281,660.938158022612,619.856629634434,584.870796521776,12.2165467572852,23.9769244083017,14.6919265462064,16.9617992372644
"406","rarga",25.6606023916766,15.7115552819981,33.3359086689006,24.9026887808584,2.20298384147765,1.53575176354214,2.27599289444436,2.00490949982138
"407","nfe2",20.420056832813,11.5002105672357,18.1708026760811,16.6970233587099,0.910323901437046,0.614300705416858,0.769128633294991,0.764584413382965
"408","dnajc16",12.6495927282913,14.5777317049467,10.6565609679272,12.6279618003884,0.728259121149637,0.499119323151197,0.376716065287343,0.534698169862726
"409","cyp2aa12",22.5885584433773,30.5322491820273,41.6698858361257,31.5968978205101,1.31086641806935,1.38217658718793,2.19751038084283,1.63018446203337
"410","cyp2aa6",356.537806470267,117.755677216625,143.31708276097,205.870188815954,11.7613848065666,5.43272186353033,4.89730884873546,7.36380517294413
"411","cyp2aa7",44.4542830165664,11.5811979655966,28.6224297792405,28.2193035871345,0.910323901437046,0.729482087682518,0.439502076168567,0.693102688429377
"412","cyp2aa1",108.967205930852,89.2481129936182,97.0020293234402,98.4057827493035,5.17063976016242,4.83761805515775,3.51601660934853,4.50809147488957
"413","cyp2aa2",307.927228700119,246.687615407043,291.962446005904,282.192430037689,9.08503253634172,11.3453661531676,8.80573802609164,9.74537890520032
"414","abce1",1987.52208031588,2125.51426997959,1906.97792295293,2006.67142441613,75.2109607367288,92.8361941061226,63.4609604981969,77.1693717803494
"415","vdra",39.575154392797,24.4581943049661,35.8634263343705,33.2989250107112,6.75460334866288,6.85329224480682,7.15760524045951,6.92183361130974
"416","abcg2a",2901.81657187002,3760.48786808773,3021.33996827214,3227.88146940996,82.0383899975066,123.685607656275,83.1914644176215,96.305154023801
"417","ncoa2",223.897791290755,201.334672324986,208.281117892373,211.171193836038,12.3439921034863,15.3383207383772,12.3060581327199,13.3294569915278
"418","hnf4g",77.1625156425767,132.657358515015,132.797144369555,114.205672842382,2.65814579219618,5.83585670146015,5.35250742762433,4.61550330709355
